Model,Accuracy,Recall,F1-score,AUC
MLPClassifier,0.394722042,0.249647253,0.226826813,0.803709613
DecisionTreeClassifier,0.251553825,0.114886853,0.085601527,0.64898957
RandomForestClassifier,0.352155887,0.199371225,0.154420098,0.789828596
LogisticRegression,0.188408304,0.188408304,0.136390561,0.714600457
AdaBoostClassifier,0.363418415,0.216609969,0.18897724,0.772142909
GradientBoostingClassifier,0.297058824,0.297058824,0.29275996,0.811199516
LGBMClassifier,0.442371476,0.311756699,0.307655399,0.840898928
XGBClassifier,0.449181628,0.319625606,0.3167671,0.842867619
CatBoostClassifier,0.424547552,0.284031786,0.272327382,0.832789767
SVC,0.242560554,0.242560554,0.21506914,0.766293972
