,duration,duration,duration,duration,duration,duration,duration,up_flow,up_flow,up_flow,up_flow,up_flow,up_flow,up_flow,down_flow,down_flow,down_flow,down_flow,down_flow,down_flow,down_flow
,mean,median,max,min,var,std,quantile,mean,median,max,min,var,std,quantile,mean,median,max,min,var,std,quantile
app_id,,,,,,,,,,,,,,,,,,,,,
4,49.71448752922837,30.0,11422,10,16248.528553193828,127.46971621994703,30.0,6346876.611798519,1143657.0,265849047,0,144892591043543.1,12037133.838399533,1143657.0,28056.77961808262,13875.5,1713757,0,1877031949.8577914,43324.72677187695,13875.5
5,202.21818181818182,163.0,730,16,31139.69225589224,176.4644220682805,163.0,25464.381818181817,18150.0,114015,175,727393917.6478117,26970.241334623086,18150.0,3892.072727272727,3333.0,14753,166,11330332.142760944,3366.055873386677,3333.0
6,357.1945945945946,141.0,4945,10,377034.80975323135,614.0316032202506,141.0,33463840.610810813,2388491.0,1081302298,0,9623708441523060.0,98100501.73940529,2388491.0,40115.88108108108,8676.0,1402911,84,13449748347.790134,115973.05009264064,8676.0
12,28.009615384615383,21.0,166,10,514.2801003344484,22.67774460422483,21.0,22503.71153846154,844.0,1710218,0,17948167999.37531,133970.77292967789,844.0,4086.206730769231,3615.5,22402,0,8419589.382176703,2901.6528707232887,3615.5
15,131.26315789473685,49.0,938,12,44339.69736842105,210.56993462605496,49.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
16,122.3896103896104,83.0,924,10,22739.056732740944,150.79475034874704,83.0,41488.753246753244,2686.0,973920,168,35671522169.13568,188869.06091029223,2686.0,10470.311688311689,3989.0,106816,939,312236450.1384142,17670.213641561164,3989.0
18,246.2072072072072,161.0,1337,14,59212.929402129404,243.33706951907143,161.0,10155507.162162162,5105011.0,135355657,156,307157221972016.9,17525901.459611624,5105011.0,36188.83783783784,23708.0,269785,0,1910606243.1189184,43710.48207374197,23708.0
30,93.5,64.0,347,10,8741.441176470587,93.49567464043771,64.0,1324.888888888889,434.5,13925,309,10101030.104575166,3178.2117778044885,434.5,1050.1666666666667,291.0,12575,96,8345386.029411765,2888.838179859122,291.0
39,86.85039370078741,60.0,758,10,9628.461567304086,98.12472454638579,60.0,1477328.31496063,68413.0,29786427,0,19206018762646.652,4382467.200407398,68413.0,11843.44094488189,9484.0,127610,0,214186900.05799267,14635.125556618661,9484.0
42,92.1952380952381,34.5,2159,10,36875.9760537708,192.03118510744758,34.5,27314.238095238095,11228.5,412447,0,2524340102.5746183,50242.811451735244,11228.5,8885.538095238095,3538.5,115440,0,295548764.19232166,17191.53175817448,3538.5
47,102.25675675675676,27.5,3459,10,162664.71399481676,403.31713823592565,27.5,8456.22972972973,1015.0,473288,0,3007481887.1382837,54840.51319178445,1015.0,1530.2972972972973,1253.5,5219,0,960282.5131432799,979.9400558928489,1253.5
51,243.38805970149255,24.0,2353,10,236886.21076436003,486.7095753777195,24.0,1778.0,1915.0,3134,0,524230.36363636365,724.0375429743707,1915.0,1256.641791044776,1128.0,4575,400,499633.17277250113,706.8473475740722,1128.0
52,165.90459476707085,71.0,2946,10,70553.66181737492,265.6193927735227,71.0,185202.15666879388,55321.0,6586916,0,159580581097.44873,399475.3823422023,55321.0,13946.544352265475,8684.0,273894,0,357051891.93020624,18895.816783886487,8684.0
61,234.51566951566952,133.0,3876,10,86277.80163264112,293.7308319408113,133.0,1311972.1732711734,169352.0,140847281,0,31592370282291.742,5620709.055118557,169352.0,41809.07459207459,13330.0,3224427,0,8944730933.297544,94576.58765940725,13330.0
62,127.67477371882529,69.0,10632,10,39229.50429989055,198.06439432641736,69.0,548276.0697076252,152043.0,83749108,0,1741463948143.9065,1319645.387270348,152043.0,81377.59814742462,59332.5,3328779,0,8677193755.86769,93151.45600508717,59332.5
66,223.87109969842643,103.0,21459,10,136392.31169117274,369.31329747407244,103.0,2379043.08676958,288904.0,555005472,0,92871257069570.5,9636973.439289458,288904.0,19612.85575229166,11149.0,743449,0,767452861.346793,27702.939579524646,11149.0
68,188.18421052631578,86.0,1018,10,57741.88561403509,240.29541321888584,86.0,263882.1710526316,12598.0,2067124,137,176819393954.5704,420498.98210883985,12598.0,4208.539473684211,3441.5,17874,0,12689703.611754388,3562.261025213395,3441.5
73,28.571428571428573,15.0,69,10,488.2857142857144,22.097187927103178,15.0,7744.142857142857,287.0,51643,109,374791499.8095238,19359.532530759203,287.0,2144.0,1539.0,5170,716,2345453.3333333335,1531.4872945386564,1539.0
77,141.4090909090909,109.0,416,14,10472.443722943723,102.33495845967654,109.0,2547712.4545454546,71105.5,24897247,482,51260049537636.83,7159612.3873878,71105.5,46726.86363636364,43194.5,116068,19,818655053.9329005,28612.14871226732,43194.5
97,285.85,82.0,2765,12,399158.97631578945,631.7902945723283,82.0,23867265.15,3265507.0,131728920,1662,1651496657459326.0,40638610.42726887,3265507.0,17602.2,2912.5,125495,0,1177411635.8526316,34313.43229484092,2912.5
98,60.06896551724138,38.0,286,10,3916.637931034483,62.58304827215181,38.0,1649165.551724138,202975.0,15523221,0,9666869879588.686,3109159.030925997,202975.0,17876.48275862069,6709.0,123250,0,890575549.1157633,29842.512446437267,6709.0
104,65.16165289256199,35.0,1589,10,10125.475513140056,100.62542180353857,35.0,93308.13917355372,15234.0,7671018,0,97413695677.45874,312111.67180587584,15234.0,32496.45090909091,9282.0,9886089,0,70543733495.19746,265600.7031150284,9282.0
115,105.67241379310344,38.5,393,10,16193.101330913489,127.25211719619242,38.5,374490.3620689655,1149.0,8311626,0,2411548868158.515,1552916.2463437992,1149.0,3569.9310344827586,2989.5,15754,0,10680647.960072592,3268.1260624511706,2989.5
130,326.74198250728864,122.5,10426,10,423418.78442467714,650.7063734317323,122.5,9179193.62973761,1722910.0,199690575,0,454684815505951.3,21323339.689315822,1722910.0,17157.527696793004,5465.5,616032,0,1458715338.483174,38193.13208527384,5465.5
136,202.85632183908046,106.5,2281,10,86235.48790778019,293.6587950458494,106.5,3235727.6666666665,1290168.0,31684728,0,26546462641490.805,5152325.944803066,1290168.0,37565.488505747126,19419.0,298820,14,2550262986.482526,50500.12857887122,19419.0
139,42.583333333333336,29.5,119,11,1096.6287878787878,33.115385969044475,29.5,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
141,327.013698630137,268.0,3405,10,178637.95814307453,422.6558388843984,268.0,1290152.4246575343,463222.0,20576567,331,10459102524248.607,3234053.574733821,463222.0,63549.28767123288,23928.0,922219,0,16239463396.679976,127434.1531799069,23928.0
144,403.35714285714283,206.0,1089,10,175769.93956043955,419.24925707798167,206.0,82432.85714285714,19578.5,274662,173,9447005614.9011,97195.70780081341,19578.5,32025.928571428572,22776.5,78521,579,714082376.9945055,26722.31982808576,22776.5
145,66.89014084507042,23.0,1506,10,18656.876489401835,136.59017713364983,23.0,765309.4943661971,204378.0,17955467,0,3389445062629.955,1841044.557480876,204378.0,5447.966197183098,3248.5,212706,0,136203708.71535796,11670.63446070341,3248.5
150,318.6484220907298,55.0,28019,10,3251897.959706436,1803.301960212553,55.0,51735.2016765286,5852.5,1632434,0,15098342253.809856,122875.31181571771,5852.5,34214.27958579882,8239.0,741100,0,4304615268.597176,65609.56689841182,8239.0
156,55.15533980582524,22.5,1147,10,8476.561117688843,92.0682416346095,22.5,136851.6990291262,2796.5,5801010,0,366633217990.54315,605502.4508542828,2796.5,7285.781553398058,3084.0,254084,0,491711554.8447313,22174.57000360393,3084.0
159,59.254612546125465,36.0,1251,10,6315.756720922413,79.47173535869474,36.0,228232.67363673638,19330.0,15599013,0,1355495361928.136,1164257.429406459,19330.0,17385.231242312424,12797.0,326196,0,387175912.62411016,19676.78613554841,12797.0
165,65.3,16.5,220,11,6968.455555555555,83.4772756835988,16.5,3292784.2,2574355.0,12977921,10723,17697786704738.4,4206873.74480604,2574355.0,28841.7,10838.0,84967,4325,882611214.2333333,29708.773354572102,10838.0
173,483.12605042016804,272.0,4895,11,426630.95855291316,653.1699308395275,272.0,125668.80672268907,33985.0,930067,196,35000824271.750465,187085.07228464397,33985.0,38346.02521008404,29995.0,139721,0,1176547232.533257,34300.83428334152,29995.0
181,370.90253671562084,115.0,12153,10,771543.1656218984,878.3752988454869,115.0,221555.044058745,3080.0,6702252,0,942671262562.123,970912.5926478258,3080.0,12168.218958611482,2215.0,488646,0,972055627.112421,31177.806643707652,2215.0
185,152.350622406639,79.0,1483,10,38191.67772664922,195.42691146986184,79.0,3926273.054460581,229342.0,982996735,0,1146002902255125.5,33852664.62562623,229342.0,108426.85165975103,42643.5,5362417,0,50974064052.00701,225774.36535622686,42643.5
203,231.20470829068577,97.0,5664,10,171670.7382849918,414.33167666133346,97.0,3060561.0562947798,319759.0,374286884,0,197600156368066.3,14057032.274561595,319759.0,152010.9689525759,59632.0,4777140,0,79422500102.91739,281819.97818273527,59632.0
211,82.00523560209425,38.0,688,11,11309.615761917888,106.34667724907013,38.0,167329.12041884818,1038.0,6378153,653,429692566776.9695,655509.3948807823,1038.0,20470.748691099478,205.0,498152,191,3299034441.8733516,57437.2217457752,205.0
215,162.22727272727272,93.0,580,11,30157.422077922078,173.65892455592967,93.0,2421887.0,5280.0,26717052,175,52511660973010.67,7246493.012003163,5280.0,3762.318181818182,3774.5,10967,0,7181064.703463204,2679.7508659319815,3774.5
231,89.48219332956472,48.0,4299,10,24740.335796996496,157.29060937321242,48.0,99703.96212549463,7270.0,19276759,0,320729204438.5613,566329.5899373096,7270.0,10011.959299039005,7737.0,96705,0,105518872.04811624,10272.237927935481,7737.0
245,381.6666666666667,220.0,1371,12,214573.8095238095,463.221123788423,220.0,645781.6666666666,21764.0,5012280,0,2456289702488.952,1567255.468163679,21764.0,22294.4,5914.0,191947,71,2465964415.6857142,49658.47778260741,5914.0
247,178.97003745318352,94.0,1853,10,53512.79609135198,231.32832963420623,94.0,2791297.2359550563,1131568.0,40454746,37,17896623467739.02,4230440.103315378,1131568.0,70251.27340823971,37404.0,697392,8,7682857965.537754,87651.91364447073,37404.0
261,106.675,28.0,7671,10,262811.6517409473,512.6515890358161,28.0,198905.28055555557,1081.0,8839951,0,985729570336.2357,992839.1462549388,1081.0,5023.5055555555555,2699.5,54917,0,40317388.774342306,6349.5975285322065,2699.5
270,22.875,22.0,36,10,56.25,7.5,22.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
274,138.8711111111111,85.0,1589,10,38526.94313492062,196.28281416089544,85.0,679549.6977777778,2271.0,41292180,0,12162203870443.785,3487435.142112866,2271.0,7323.857777777778,1125.0,99630,0,188046394.07789686,13713.000914384016,1125.0
308,397.6625,215.0,4540,10,279333.4713912134,528.5200766207595,215.0,43636.7125,1804.0,1287543,0,20395749683.234962,142813.68871097392,1804.0,12331.645833333334,3954.5,391970,0,866905290.2296898,29443.255428530483,3954.5
309,415.42035541195474,121.0,14620,10,685061.9496178444,827.684692149036,121.0,90754.95605815832,36115.0,9113056,0,223237866726.5761,472480.5464001413,36115.0,15525.360904684976,14442.0,178724,0,155864904.78276318,12484.586688503676,14442.0
310,267.0,267.0,270,264,18.0,4.242640687119285,267.0,167.0,167.0,167,167,0.0,0.0,167.0,964.0,964.0,964,964,0.0,0.0,964.0
312,66.42857142857143,53.0,169,23,2303.2857142857147,47.992558947046305,53.0,42918.71428571428,50671.0,81372,808,1579746036.5714285,39746.01912860492,50671.0,25355.428571428572,31288.0,40475,2884,154642146.28571427,12435.519542251312,31288.0
324,236.475,85.0,1437,10,112298.92243589743,335.1103138309793,85.0,35855.05,16684.5,280917,0,3342229196.6128206,57812.016022733726,16684.5,27980.0,15239.0,123263,121,1051899995.9487177,32433.00781532169,15239.0
333,127.0,127.0,167,87,3200.0,56.568542494923804,127.0,392170.5,392170.5,725356,58985,222025154820.5,471195.45288606087,392170.5,39949.0,39949.0,77488,2410,2818353042.0,53088.16291792361,39949.0
340,374.49787234042554,187.0,3542,10,221582.47328605194,470.72547550143486,187.0,29017.693617021276,5168.0,694703,0,6619202306.606582,81358.48023781284,5168.0,157222.70212765958,66997.0,1182728,93,48225195225.27839,219602.35705765634,66997.0
346,854.8801191362621,261.0,40392,10,5933606.61974603,2435.899550421985,261.0,74697.32464631423,178.0,17480360,0,667022440140.1306,816714.4177373941,178.0,4551.530900967982,1061.0,330843,0,177519431.10914153,13323.641811049318,1061.0
364,180.85714285714286,107.0,366,26,16915.14285714286,130.05822871753583,107.0,17274.85714285714,4954.0,49941,285,479644557.8095238,21900.788976873042,4954.0,3561.5714285714284,3511.0,7381,446,5598789.619047619,2366.1761597665586,3511.0
365,380.0255070682237,156.0,5674,10,279279.37254316435,528.4688945843117,156.0,109684.50215119853,32398.0,12854825,0,132991649666.63242,364680.20191207586,32398.0,73939.50645359558,43143.5,850473,0,7925342185.587879,89024.39095881465,43143.5
388,72.35929648241206,25.0,1342,10,11868.778919756016,108.94392557529775,25.0,76523.0351758794,168.0,15583031,0,548329354954.4869,740492.6434168586,168.0,1581.6143216080402,1046.0,92370,0,24905676.14917823,4990.558701105341,1046.0
400,33.76923076923077,22.0,120,10,1221.1923076923078,34.945562060042874,22.0,1207739.3846153845,233800.0,5864756,5149,3403589246560.2563,1844881.9058574606,233800.0,742.1538461538462,255.0,4261,0,1713399.8076923077,1308.9689865280643,255.0
401,70.02870813397129,28.0,2622,10,43913.88406595296,209.55639829399854,28.0,55412.17703349282,5291.0,3317383,0,66863846189.20115,258580.44432864824,5291.0,5920.703349282297,2645.5,52372,0,60001869.13001279,7746.087343298731,2645.5
404,104.13793103448276,27.0,825,10,36233.46063384493,190.35088818769648,27.0,26563.298850574713,4264.0,356592,0,4323493033.158726,65753.27393490552,4264.0,6539.729885057472,1192.0,79167,0,191323813.41216528,13831.985158037342,1192.0
406,66.25302826379543,40.0,722,10,5579.658262380604,74.69711013406479,40.0,335387.5814266487,257910.0,2927554,0,108050338049.85297,328710.1124849264,257910.0,139480.36204576044,151332.0,438002,0,5611143179.15041,74907.5642318612,151332.0
